Список заявок на 02:26 28.11.23;;;;;;;;;;;;;;;;;;;;
№ свой;№ чужой;Предприятие;Комплекс;;Состояние заявки;Объект;Оборудование;Оборудование, выводимое в ремонт;Состояние оборудования по заявке;Программа переключений ;Актуализация;Разрешенное время - начало ;Разрешенное время -  конец;Просимое время - начало;Ремонт;Категория;Просрочена;А\Г;Заземление;Условия производства
12502;357350;Litgrid AB;ЛЭП.ЛЭП 110 кВ;;Рассмотренная;ПС 110 кВ Кибартай;ВЛ 110 кВ О-15 Нестеров – Кибартай (Л-130);;с отключением;ТП №31 по выводу в ремонт ВЛ 110 кВ О-15 Нестеров - Кибартай (Л-130) и ТПП №32 по вводу в работу ВЛ 110 кВ О-15 Нестеров - Кибартай (Л-130), утв. 20.02.2023г.;да;17:00 04.12.23;17:00 06.02.24;17:00 04.12.23;ВПр;ПЛ;;ВЗ;Да; 
12507;6728;Кольское РДУ;РЗА.РА.ОПРЧ;;Рассмотренная;Кольская АЭС;ОПРЧ Блока 1;;с отключением;Пусто;;08:00 04.12.23;17:00 04.12.23;08:00 04.12.23;НГ;ПЛ;;ВЗ;;без отключения ЛЭП (оборудования)
12402;6180;Новгородское РДУ;РЗА.ПА;;Рассмотренная;ПС 330 кВ Чудово;МКПА 1 комплект ВЛ 330 кВ Чудово – Окуловская (АЛАР, КПР, АОПО, АРПМ, ФОЛ, ФРТ Ч-О-Б-Н);;без отключения;Пусто;да;08:00 01.12.23;17:00 01.12.23;08:00 01.12.23;ЗРР;НПЛ;;00:10;;без отключения ЛЭП (оборудования)
12403;6181;Новгородское РДУ;РЗА.ПА;;Рассмотренная;ПС 330 кВ Чудово;МКПА 2 комплект ВЛ 330 кВ Чудово – Окуловская (АЛАР, КПР, АОПО, АРПМ, ФОЛ, ФРТ Ч-О-Б-Н);;без отключения;Пусто;да;08:00 01.12.23;17:00 01.12.23;08:00 01.12.23;ЗРР;НПЛ;;00:10;;без отключения ЛЭП (оборудования)
12558;20558;Ленинградское РДУ;РЗА.ПА;;Рассмотренная;ПС 750 кВ Ленинградская;АОПО АТ-1;;без отключения;Пусто;да;08:00 01.12.23;20:00 01.12.23;08:00 01.12.23;ЗРР;НПЛ;;00:05;;без отключения ЛЭП (оборудования)
12559;20559;Ленинградское РДУ;РЗА.ПА;;Рассмотренная;ПС 750 кВ Ленинградская;АОПО АТ-2;;без отключения;Пусто;да;08:00 01.12.23;20:00 01.12.23;08:00 01.12.23;ЗРР;НПЛ;;00:05;;без отключения ЛЭП (оборудования)
12451;6476;Новгородское РДУ;СДТУ.СДТУ Н;;Разрешенная;ПС 330 кВ Юго-Западная;СДТУ направления Новгородское РДУ – ПС 330 кВ Юго-Западная;"Мультиплексор UMUX-1500 NE 100586;
Мультиплексор ABB FOX-515 ПС 330 кВ Юго-Западная";с отключением;Пусто;;00:00 01.12.23;24:00 10.12.23;00:00 01.12.23;ВПр;НПЛ;;ВЗ;;без отключения ЛЭП (оборудования)
12574;967;Ленинградская АЭС;ЭНРГ.Б;;Рассмотренная;Ленинградская АЭС;Блок 5;;с отключением;П - технологический регламент РГ.1723.СТУ.16, Инструкция по эксплуатации ТГ 1.ИЭ.2344.ТЦ20.;да;00:00 01.12.23;24:00 31.12.23;00:00 01.12.23;АР;АВ;;ВЗ;; 
12681;41144;ЦДУ;АСДУ.ПАК;;Разрешенная;ЦДУ;CK11.Proxy;;без отключения;Пусто;;13:00 30.11.23;16:00 30.11.23;13:00 30.11.23;П;НПЛ;;00:10;;без отключения ЛЭП (оборудования)
12464;0;ОДУ Северо-Запада;АСДУ.ПАК;;Разрешенная;ОДУ Северо-Запада;Автоматическая система сбора информации с регистраторов СМПР (АС СИ СМПР);;без отключения;Пусто;;09:00 30.11.23;17:00 30.11.23;09:00 30.11.23;ОПО;НПЛ;;00:20;; 
